t,x,y
5352.9,1.26181e+07,-1.75083e+07
5363,1.26095e+07,-1.755e+07
5373.1,1.2601e+07,-1.75917e+07
5383.2,1.25923e+07,-1.76333e+07
5393.3,1.25836e+07,-1.76748e+07
5403.4,1.25749e+07,-1.77163e+07
5413.5,1.25661e+07,-1.77577e+07
5423.6,1.25572e+07,-1.7799e+07
5433.7,1.25484e+07,-1.78403e+07
5443.8,1.25394e+07,-1.78815e+07
5453.9,1.25304e+07,-1.79226e+07
5464,1.25214e+07,-1.79637e+07
5474.1,1.25123e+07,-1.80046e+07
5484.2,1.25032e+07,-1.80455e+07
5494.3,1.2494e+07,-1.80864e+07
5504.4,1.24848e+07,-1.81272e+07
5514.5,1.24755e+07,-1.81679e+07
5524.6,1.24662e+07,-1.82085e+07
5534.7,1.24568e+07,-1.82491e+07
5544.8,1.24474e+07,-1.82896e+07
5554.9,1.24379e+07,-1.833e+07
5565,1.24284e+07,-1.83703e+07
5575.1,1.24188e+07,-1.84106e+07
5585.2,1.24092e+07,-1.84509e+07
5595.3,1.23996e+07,-1.8491e+07
5605.4,1.23899e+07,-1.85311e+07
5615.5,1.23801e+07,-1.85711e+07
5625.6,1.23704e+07,-1.86111e+07
5635.7,1.23605e+07,-1.86509e+07
5645.8,1.23506e+07,-1.86908e+07
5655.9,1.23407e+07,-1.87305e+07
5666,1.23308e+07,-1.87702e+07
5676.1,1.23208e+07,-1.88098e+07
5686.2,1.23107e+07,-1.88493e+07
5696.3,1.23006e+07,-1.88888e+07
5706.4,1.22905e+07,-1.89282e+07
5716.5,1.22803e+07,-1.89676e+07
5726.6,1.227e+07,-1.90068e+07
5736.7,1.22598e+07,-1.90461e+07
5746.8,1.22495e+07,-1.90852e+07
5756.9,1.22391e+07,-1.91243e+07
5767,1.22287e+07,-1.91633e+07
5777.1,1.22183e+07,-1.92022e+07
5787.2,1.22078e+07,-1.92411e+07
5797.3,1.21973e+07,-1.92799e+07
5807.4,1.21867e+07,-1.93187e+07
5817.5,1.21761e+07,-1.93573e+07
5827.6,1.21654e+07,-1.9396e+07
5837.7,1.21547e+07,-1.94345e+07
5847.8,1.2144e+07,-1.9473e+07
5857.9,1.21332e+07,-1.95114e+07
5868,1.21224e+07,-1.95498e+07
5878.1,1.21116e+07,-1.9588e+07
5888.2,1.21007e+07,-1.96263e+07
5898.3,1.20897e+07,-1.96644e+07
5908.4,1.20787e+07,-1.97025e+07
5918.5,1.20677e+07,-1.97405e+07
5928.6,1.20567e+07,-1.97785e+07
5938.7,1.20456e+07,-1.98164e+07
5948.8,1.20345e+07,-1.98542e+07
5958.9,1.20233e+07,-1.9892e+07
5969,1.20121e+07,-1.99297e+07
5979.1,1.20008e+07,-1.99673e+07
5989.2,1.19895e+07,-2.00049e+07
5999.3,1.19782e+07,-2.00424e+07
6009.4,1.19668e+07,-2.00799e+07
6019.5,1.19554e+07,-2.01172e+07
6029.6,1.1944e+07,-2.01546e+07
6039.7,1.19325e+07,-2.01918e+07
6049.8,1.1921e+07,-2.0229e+07
6059.9,1.19094e+07,-2.02661e+07
6070,1.18978e+07,-2.03032e+07
6080.1,1.18862e+07,-2.03402e+07
6090.2,1.18746e+07,-2.03771e+07
6100.3,1.18629e+07,-2.0414e+07
6110.4,1.18511e+07,-2.04508e+07
6120.5,1.18393e+07,-2.04876e+07
6130.6,1.18275e+07,-2.05243e+07
6140.7,1.18157e+07,-2.05609e+07
6150.8,1.18038e+07,-2.05974e+07
6160.9,1.17919e+07,-2.06339e+07
6171,1.17799e+07,-2.06704e+07
6181.1,1.17679e+07,-2.07067e+07
6191.2,1.17559e+07,-2.07431e+07
6201.3,1.17438e+07,-2.07793e+07
6211.4,1.17317e+07,-2.08155e+07
6221.5,1.17196e+07,-2.08516e+07
6231.6,1.17074e+07,-2.08877e+07
6241.7,1.16952e+07,-2.09237e+07
6251.8,1.1683e+07,-2.09596e+07
6261.9,1.16707e+07,-2.09955e+07
6272,1.16584e+07,-2.10313e+07
6282.1,1.16461e+07,-2.10671e+07
6292.2,1.16337e+07,-2.11027e+07
6302.3,1.16213e+07,-2.11384e+07
6312.4,1.16089e+07,-2.11739e+07
6322.5,1.15964e+07,-2.12095e+07
6332.6,1.15839e+07,-2.12449e+07
6342.7,1.15713e+07,-2.12803e+07
6352.8,1.15588e+07,-2.13156e+07
6362.9,1.15462e+07,-2.13509e+07
6373,1.15335e+07,-2.13861e+07
6383.1,1.15209e+07,-2.14212e+07
6393.2,1.15082e+07,-2.14563e+07
6403.3,1.14954e+07,-2.14913e+07
6413.4,1.14826e+07,-2.15263e+07
6423.5,1.14698e+07,-2.15612e+07
6433.6,1.1457e+07,-2.1596e+07
6443.7,1.14441e+07,-2.16308e+07
6453.8,1.14312e+07,-2.16655e+07
6463.9,1.14183e+07,-2.17002e+07
6474,1.14054e+07,-2.17348e+07
6484.1,1.13924e+07,-2.17693e+07
6494.2,1.13793e+07,-2.18038e+07
6504.3,1.13663e+07,-2.18383e+07
6514.4,1.13532e+07,-2.18726e+07
6524.5,1.13401e+07,-2.19069e+07
6534.6,1.13269e+07,-2.19412e+07
6544.7,1.13138e+07,-2.19753e+07
6554.8,1.13006e+07,-2.20095e+07
6564.9,1.12873e+07,-2.20435e+07
6575,1.12741e+07,-2.20775e+07
6585.1,1.12608e+07,-2.21115e+07
6595.2,1.12474e+07,-2.21454e+07
6605.3,1.12341e+07,-2.21792e+07
6615.4,1.12207e+07,-2.2213e+07
6625.5,1.12073e+07,-2.22467e+07
6635.6,1.11938e+07,-2.22804e+07
6645.7,1.11803e+07,-2.2314e+07
6655.8,1.11668e+07,-2.23475e+07
6665.9,1.11533e+07,-2.2381e+07
6676,1.11397e+07,-2.24144e+07
6686.1,1.11261e+07,-2.24478e+07
6696.2,1.11125e+07,-2.24811e+07
6706.3,1.10989e+07,-2.25143e+07
6716.4,1.10852e+07,-2.25475e+07
6726.5,1.10715e+07,-2.25806e+07
6736.6,1.10578e+07,-2.26137e+07
6746.7,1.1044e+07,-2.26467e+07
6756.8,1.10302e+07,-2.26797e+07
6766.9,1.10164e+07,-2.27126e+07
6777,1.10025e+07,-2.27454e+07
6787.1,1.09887e+07,-2.27782e+07
6797.2,1.09748e+07,-2.2811e+07
6807.3,1.09608e+07,-2.28436e+07
