t,x,y
30.7,0.00263511,6.37439e+06
30.8,0.00265275,6.37442e+06
30.9,0.00267046,6.37444e+06
31,0.00268823,6.37446e+06
31.1,0.00270606,6.37449e+06
31.2,0.00272396,6.37451e+06
31.3,0.00274192,6.37454e+06
31.4,0.00275994,6.37456e+06
31.5,0.00277802,6.37458e+06
31.6,0.00279617,6.37461e+06
31.7,0.00281438,6.37463e+06
31.8,0.00283266,6.37466e+06
31.9,0.00285099,6.37468e+06
32,0.00286939,6.37471e+06
32.1,0.00288785,6.37473e+06
32.2,0.00290638,6.37476e+06
32.3,0.00292497,6.37478e+06
32.4,0.00294362,6.37481e+06
32.5,0.00296234,6.37483e+06
32.6,0.00298111,6.37486e+06
32.7,0.00299996,6.37488e+06
32.8,0.00301886,6.37491e+06
32.9,0.00303783,6.37494e+06
33,0.00305686,6.37496e+06
33.1,0.00307596,6.37499e+06
33.2,0.00309512,6.37501e+06
33.3,0.00311434,6.37504e+06
33.4,0.00313363,6.37506e+06
33.5,0.00315298,6.37509e+06
33.6,0.00317239,6.37512e+06
33.7,0.00319187,6.37514e+06
33.8,0.00321141,6.37517e+06
33.9,0.00323102,6.3752e+06
34,0.00325069,6.37522e+06
34.1,0.00327042,6.37525e+06
34.2,0.00329022,6.37528e+06
34.3,0.00331008,6.3753e+06
34.4,0.00333,6.37533e+06
34.5,0.00334999,6.37536e+06
34.6,0.00337005,6.37539e+06
34.7,0.00339016,6.37541e+06
34.8,0.00341035,6.37544e+06
34.9,0.00343059,6.37547e+06
35,0.0034509,6.3755e+06
35.1,0.00347128,6.37552e+06
35.2,0.00349172,6.37555e+06
35.3,0.00351222,6.37558e+06
35.4,0.00353279,6.37561e+06
35.5,0.00355342,6.37564e+06
35.6,0.00357412,6.37567e+06
35.7,0.00359488,6.37569e+06
35.8,0.00361571,6.37572e+06
35.9,0.0036366,6.37575e+06
36,0.00365755,6.37578e+06
36.1,0.00367857,6.37581e+06
36.2,0.00369966,6.37584e+06
36.3,0.00372081,6.37587e+06
36.4,0.00374203,6.3759e+06
36.5,0.00376331,6.37592e+06
36.6,0.00378465,6.37595e+06
36.7,0.00380606,6.37598e+06
36.8,0.00382754,6.37601e+06
36.9,0.00384908,6.37604e+06
37,0.00387068,6.37607e+06
37.1,0.00389235,6.3761e+06
37.2,0.00391409,6.37613e+06
37.3,0.00393589,6.37616e+06
37.4,0.00395776,6.37619e+06
37.5,0.00397969,6.37622e+06
37.6,0.00400169,6.37625e+06
37.7,0.00402375,6.37628e+06
37.8,0.00404588,6.37631e+06
37.9,0.00406807,6.37634e+06
38,0.00409033,6.37637e+06
38.1,0.00411266,6.37641e+06
38.2,0.00413505,6.37644e+06
38.3,0.00415751,6.37647e+06
38.4,0.00418003,6.3765e+06
38.5,0.00420262,6.37653e+06
38.6,0.00422527,6.37656e+06
38.7,0.00424799,6.37659e+06
38.8,0.00427078,6.37662e+06
38.9,0.00429363,6.37666e+06
39,0.00431655,6.37669e+06
39.1,0.00433953,6.37672e+06
39.2,0.00436259,6.37675e+06
39.3,0.0043857,6.37678e+06
39.4,0.00440888,6.37682e+06
39.5,0.00443213,6.37685e+06
39.6,0.00445545,6.37688e+06
39.7,0.00447883,6.37691e+06
39.8,0.00450228,6.37695e+06
39.9,0.00452579,6.37698e+06
40,0.00454938,6.37701e+06
40.1,0.00457302,6.37704e+06
40.2,0.00459674,6.37708e+06
40.3,0.00462052,6.37711e+06
40.4,0.00464437,6.37714e+06
40.5,0.00466828,6.37718e+06
40.6,0.00469226,6.37721e+06
40.7,0.00471631,6.37724e+06
40.8,0.00474043,6.37728e+06
40.9,0.00476461,6.37731e+06
41,0.00478886,6.37735e+06
41.1,0.00481317,6.37738e+06
41.2,0.00483756,6.37741e+06
41.3,0.00486201,6.37745e+06
41.4,0.00488652,6.37748e+06
41.5,0.00491111,6.37752e+06
41.6,0.00493576,6.37755e+06
41.7,0.00496048,6.37759e+06
41.8,0.00498526,6.37762e+06
41.9,0.00501012,6.37766e+06
42,0.00503504,6.37769e+06
42.1,0.00506003,6.37773e+06
42.2,0.00508508,6.37776e+06
42.3,0.00511021,6.3778e+06
42.4,0.0051354,6.37783e+06
42.5,0.00516066,6.37787e+06
42.6,0.00518598,6.3779e+06
42.7,0.00521138,6.37794e+06
42.8,0.00523684,6.37797e+06
42.9,0.00526237,6.37801e+06
43,0.00528797,6.37805e+06
43.1,0.00531363,6.37808e+06
43.2,0.00533936,6.37812e+06
43.3,0.00536517,6.37816e+06
43.4,0.00539104,6.37819e+06
43.5,0.00541697,6.37823e+06
43.6,0.00544298,6.37827e+06
43.7,0.00546905,6.3783e+06
43.8,0.0054952,6.37834e+06
43.9,0.00552141,6.37838e+06
44,0.00554769,6.37841e+06
44.1,0.00557403,6.37845e+06
44.2,0.00560045,6.37849e+06
44.3,0.00562694,6.37853e+06
44.4,0.00565349,6.37856e+06
44.5,0.00568011,6.3786e+06
44.6,0.0057068,6.37864e+06
44.7,0.00573356,6.37868e+06
44.8,0.00576039,6.37871e+06
44.9,0.00578728,6.37875e+06
45,0.00581425,6.37879e+06
45.1,0.00584128,6.37883e+06
45.2,0.00586839,6.37887e+06
45.3,0.00589556,6.37891e+06
45.4,0.0059228,6.37895e+06
45.5,0.00595011,6.37898e+06
45.6,0.00597749,6.37902e+06
45.7,0.00600494,6.37906e+06
45.8,0.00603246,6.3791e+06
45.9,0.00606004,6.37914e+06
46,0.0060877,6.37918e+06
46.1,0.00611543,6.37922e+06
46.2,0.00614322,6.37926e+06
46.3,0.00617109,6.3793e+06
46.4,0.00619902,6.37934e+06
46.5,0.00622703,6.37938e+06
46.6,0.0062551,6.37942e+06
46.7,0.00628324,6.37946e+06
46.8,0.00631146,6.3795e+06
46.9,0.00633974,6.37954e+06
47,0.00636809,6.37958e+06
47.1,0.00639651,6.37962e+06
47.2,0.00642501,6.37966e+06
47.3,0.00645357,6.3797e+06
47.4,0.0064822,6.37974e+06
47.5,0.0065109,6.37979e+06
47.6,0.00653968,6.37983e+06
47.7,0.00656852,6.37987e+06
47.8,0.00659743,6.37991e+06
47.9,0.00662642,6.37995e+06
48,0.00665547,6.37999e+06
48.1,0.00668459,6.38004e+06
48.2,0.00671379,6.38008e+06
48.3,0.00674305,6.38012e+06
48.4,0.00677239,6.38016e+06
48.5,0.0068018,6.3802e+06
48.6,0.00683127,6.38025e+06
48.7,0.00686082,6.38029e+06
48.8,0.00689044,6.38033e+06
48.9,0.00692013,6.38037e+06
49,0.00694989,6.38042e+06
49.1,0.00697972,6.38046e+06
49.2,0.00700962,6.3805e+06
49.3,0.00703959,6.38055e+06
49.4,0.00706964,6.38059e+06
49.5,0.00709975,6.38063e+06
49.6,0.00712994,6.38068e+06
49.7,0.00716019,6.38072e+06
49.8,0.00719052,6.38077e+06
49.9,0.00722092,6.38081e+06
50,0.00725139,6.38085e+06
50.1,0.00728194,6.3809e+06
50.2,0.00731255,6.38094e+06
50.3,0.00734324,6.38099e+06
50.4,0.00737399,6.38103e+06
50.5,0.00740482,6.38108e+06
50.6,0.00743572,6.38112e+06
50.7,0.0074667,6.38117e+06
50.8,0.00749774,6.38121e+06
50.9,0.00752885,6.38126e+06
51,0.00756004,6.3813e+06
51.1,0.0075913,6.38135e+06
51.2,0.00762263,6.38139e+06
51.3,0.00765404,6.38144e+06
51.4,0.00768551,6.38148e+06
51.5,0.00771706,6.38153e+06
51.6,0.00774868,6.38158e+06
51.7,0.00778037,6.38162e+06
51.8,0.00781214,6.38167e+06
51.9,0.00784398,6.38172e+06
52,0.00787588,6.38176e+06
52.1,0.00790787,6.38181e+06
52.2,0.00793992,6.38186e+06
52.3,0.00797205,6.3819e+06
52.4,0.00800425,6.38195e+06
52.5,0.00803652,6.382e+06
52.6,0.00806887,6.38204e+06
52.7,0.00810128,6.38209e+06
52.8,0.00813377,6.38214e+06
52.9,0.00816634,6.38219e+06
53,0.00819897,6.38224e+06
53.1,0.00823168,6.38228e+06
53.2,0.00826447,6.38233e+06
53.3,0.00829732,6.38238e+06
53.4,0.00833025,6.38243e+06
53.5,0.00836325,6.38248e+06
53.6,0.00839633,6.38253e+06
53.7,0.00842948,6.38257e+06
53.8,0.0084627,6.38262e+06
53.9,0.008496,6.38267e+06
54,0.00852937,6.38272e+06
54.1,0.00856281,6.38277e+06
54.2,0.00859633,6.38282e+06
54.3,0.00862992,6.38287e+06
54.4,0.00866358,6.38292e+06
54.5,0.00869732,6.38297e+06
54.6,0.00873113,6.38302e+06
54.7,0.00876501,6.38307e+06
54.8,0.00879897,6.38312e+06
54.9,0.00883301,6.38317e+06
55,0.00886711,6.38322e+06
55.1,0.0089013,6.38327e+06
55.2,0.00893555,6.38332e+06
55.3,0.00896988,6.38337e+06
55.4,0.00900429,6.38342e+06
55.5,0.00903876,6.38347e+06
55.6,0.00907332,6.38352e+06
55.7,0.00910794,6.38358e+06
55.8,0.00914265,6.38363e+06
55.9,0.00917742,6.38368e+06
56,0.00921227,6.38373e+06
56.1,0.0092472,6.38378e+06
56.2,0.0092822,6.38383e+06
56.3,0.00931728,6.38389e+06
56.4,0.00935243,6.38394e+06
56.5,0.00938765,6.38399e+06
56.6,0.00942295,6.38404e+06
56.7,0.00945833,6.3841e+06
56.8,0.00949378,6.38415e+06
56.9,0.0095293,6.3842e+06
57,0.0095649,6.38425e+06
57.1,0.00960058,6.38431e+06
57.2,0.00963633,6.38436e+06
57.3,0.00967216,6.38441e+06
57.4,0.00970806,6.38447e+06
57.5,0.00974404,6.38452e+06
57.6,0.00978009,6.38458e+06
57.7,0.00981622,6.38463e+06
57.8,0.00985243,6.38468e+06
